TrackName,Composer,TrackLength,TrackSizeBytes,TrackPrice,Genre,MediaType,AlbumTitle,ArtistName,InvoiceItemQuantity,InvoiceItemUnitPrice,InvoiceId,InvoiceDate,InvoiceBillingAddress,InvoiceBillingCity,InvoiceBillingState,InvoiceBillingCountry,InvoiceBillingPostalCode,CustomerFirstName,CustomerLastName,CustomerAddress,CustomerCity,CustomerState,CustomerCountry,CustomerPostalCode,CustomerPhone,CustomerFax,CustomerEmail
"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"What It Takes","Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"Dude (Looks Like A Lady)","Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
"Janie's Got A Gun","Steven Tyler, Tom Hamilton",330736,10869391,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
"Cryin'","Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
Amazing,"Steven Tyler, Richie Supa",356519,11616195,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
"Blind Man","Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"Deuces Are Wild","Steven Tyler, Jim Vallance",215875,7074167,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
"Deuces Are Wild","Steven Tyler, Jim Vallance",215875,7074167,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"The Other Side","Steven Tyler, Jim Vallance",244375,7983270,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
Crazy,"Steven Tyler, Joe Perry, Desmond Child",316656,10402398,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
"Eat The Rich","Steven Tyler, Joe Perry, Jim Vallance",251036,8262039,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
Angel,"Steven Tyler, Desmond Child",307617,9989331,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
"Livin' On The Edge","Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"All I Really Want","Alanis Morissette & Glenn Ballard",284891,9375567,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"You Oughta Know","Alanis Morissette & Glenn Ballard",249234,8196916,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
Perfect,"Alanis Morissette & Glenn Ballard",188133,6145404,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
"Hand In My Pocket","Alanis Morissette & Glenn Ballard",221570,7224246,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
"Right Through You","Alanis Morissette & Glenn Ballard",176117,5793082,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
Forgiven,"Alanis Morissette & Glenn Ballard",300355,9753256,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"You Learn","Alanis Morissette & Glenn Ballard",239699,7824837,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"Head Over Feet","Alanis Morissette & Glenn Ballard",267493,8758008,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
"Mary Jane","Alanis Morissette & Glenn Ballard",280607,9163588,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
Ironic,"Alanis Morissette & Glenn Ballard",229825,7598866,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
"Not The Doctor","Alanis Morissette & Glenn Ballard",227631,7604601,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"Not The Doctor","Alanis Morissette & Glenn Ballard",227631,7604601,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
"Wake Up","Alanis Morissette & Glenn Ballard",293485,9703359,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"You Oughta Know (Alternate)","Alanis Morissette & Glenn Ballard",491885,16008629,0.99,Rock,"MPEG audio file","Jagged Little Pill","Alanis Morissette",,,,,,,,,,,,,,,,,,,
"We Die Young","Jerry Cantrell",152084,4925362,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",,,,,,,,,,,,,,,,,,,
"Man In The Box","Jerry Cantrell, Layne Staley",286641,9310272,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",,,,,,,,,,,,,,,,,,,
"Sea Of Sorrow","Jerry Cantrell",349831,11316328,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,215,"2011-07-30 00:00:00","9, Place Louis Barthou",Bordeaux,,France,33000,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,,France,33000,"+33 05 56 96 96 96",,wyatt.girard@yahoo.fr
"Bleed The Freak","Jerry Cantrell",241946,7847716,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"I Can't Remember","Jerry Cantrell, Layne Staley",222955,7302550,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"Love, Hate, Love","Jerry Cantrell, Layne Staley",387134,12575396,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",,,,,,,,,,,,,,,,,,,
"It Ain't Like That","Jerry Cantrell, Michael Starr, Sean Kinney",277577,8993793,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
Sunshine,"Jerry Cantrell",284969,9216057,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",,,,,,,,,,,,,,,,,,,
"Put You Down","Jerry Cantrell",196231,6420530,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",,,,,,,,,,,,,,,,,,,
Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"I Know Somethin (Bout You)","Jerry Cantrell",261955,8497788,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
"Real Thing","Jerry Cantrell, Layne Staley",243879,7937731,0.99,Rock,"MPEG audio file",Facelift,"Alice In Chains",1,0.99,215,"2011-07-30 00:00:00","9, Place Louis Barthou",Bordeaux,,France,33000,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,,France,33000,"+33 05 56 96 96 96",,wyatt.girard@yahoo.fr
Desafinado,,185338,5990473,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Garota De Ipanema",,285048,9348428,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Samba De Uma Nota Só (One Note Samba)",,137273,4535401,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Por Causa De Você",,169900,5536496,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"Por Causa De Você",,169900,5536496,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
Ligia,,251977,8226934,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
Fotografia,,129227,4198774,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Dindi (Dindi)",,253178,8149148,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Se Todos Fossem Iguais A Você (Instrumental)",,134948,4393377,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Falando De Amor",,219663,7121735,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,215,"2011-07-30 00:00:00","9, Place Louis Barthou",Bordeaux,,France,33000,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,,France,33000,"+33 05 56 96 96 96",,wyatt.girard@yahoo.fr
Angela,,169508,5574957,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"Corcovado (Quiet Nights Of Quiet Stars)",,205662,6687994,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"Outra Vez",,126511,4110053,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",,,,,,,,,,,,,,,,,,,
"O Boto (Bôto)",,366837,12089673,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
"Canta, Canta Mais",,271856,8719426,0.99,Jazz,"MPEG audio file","Warner 25 Anos","Antônio Carlos Jobim",1,0.99,110,"2010-04-21 00:00:00","1498 rue Bélanger","Montréal",QC,Canada,"H2G 1A7","François",Tremblay,"1498 rue Bélanger","Montréal",QC,Canada,"H2G 1A7","+1 (514) 721-4711",,ftremblay@gmail.com
"Enter Sandman",Apocalyptica,221701,7286305,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,,,,,,,,,,,,,,,,,,,
"Master Of Puppets",Apocalyptica,436453,14375310,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"Harvester Of Sorrow",Apocalyptica,374543,12372536,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,,,,,,,,,,,,,,,,,,,
"The Unforgiven",Apocalyptica,322925,10422447,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,1,0.99,215,"2011-07-30 00:00:00","9, Place Louis Barthou",Bordeaux,,France,33000,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,,France,33000,"+33 05 56 96 96 96",,wyatt.girard@yahoo.fr
"Sad But True",Apocalyptica,288208,9405526,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,,,,,,,,,,,,,,,,,,,
"Creeping Death",Apocalyptica,308035,10110980,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,,,,,,,,,,,,,,,,,,,
"Wherever I May Roam",Apocalyptica,369345,12033110,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,,,,,,,,,,,,,,,,,,,
"Welcome Home (Sanitarium)",Apocalyptica,350197,11406431,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,1,0.99,4,"2009-01-06 00:00:00","8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7",Mark,Philips,"8210 111 ST NW",Edmonton,AB,Canada,"T6G 2C7","+1 (780) 434-4554","+1 (780) 434-5565",mphilips12@shaw.ca
"Welcome Home (Sanitarium)",Apocalyptica,350197,11406431,0.99,Metal,"MPEG audio file","Plays Metallica By Four Cellos",Apocalyptica,1,0.99,320,"2012-11-06 00:00:00","120 S Orange Ave",Orlando,FL,USA,32801,Heather,Leacock,"120 S Orange Ave",Orlando,FL,USA,32801,"+1 (407) 999-7788",,hleacock@gmail.com
